Application_id, Seat_allotted, Paper, Quota, Choice_no, Rank, Marks, StatusId, Auto Upgrade
M108G65, 1402, MA, SC, 12, 1423, 20.33, 1, true
M113Q83, 2103, PH, SC, 5, 1467, 19.33, 3, true
M107D25, 1703, PH, SC, 4, 1467, 19.33, 3, true
M117S65, 1903, PH, SC, 6, 1472, 19.33, 1, true
M116G29, 1905, CY, SC, 3, 1483, 28.67, 1, true
M116W79, 1903, PH, SC, 7, 1487, 19, 1, true
M101Q52, 1605, PH, SC, 11, 1494, 19, 1, true
M105C38, 2003, PH, SC, 10, 1509, 19, 1, true
M105U76, 2003, PH, SC, 8, 1583, 18.67, 1, true
M109R40, 1502, MA, ST, 1, 1645, 19, 3, true
M105X61, 1502, MA, ST, 1, 2204, 16, 3, true
M112K35, 1502, MA, ST, 5, 2238, 16, 3, true
M110Y47, 1402, MA, ST, 1, 2622, 14.33, 1, true
M107T39, 1601, CY, ST, 1, 2934, 18, 3, true
M103B42, 2103, PH, ST, 1, 3032, 13, 3, true
M121Y93, 2303, PH, ST, 2, 3138, 12.67, 3, true
M107R79, 2003, PH, ST, 12, 3288, 12.33, 1, true
M118E32, 2402, PH, ST, 9, 3294, 12.33, 1, true
M112U27, 1702, MA, ST, 2, 3325, 12, 1, true
M121G86, 1702, MA, ST, 1, 3359, 12, 1, true
M110M73, 2002, MA, ST, 2, 3525, 11.67, 1, true
M113V54, 1803, CY, ST, 1, 3563, 15, 3, true
M113W40, 2002, MA, ST, 6, 3641, 11, 1, true
M105E60, 1403, PH, GEN-PwD, 4, 3692, 11.33, 3, true
M110Z45, 2102, MA, ST, 5, 3707, 11, 1, true
M116T65, 1701, CY, ST, 4, 4488, 11.33, 3, true
M116A26, 1901, CY, ST, 1, 4524, 11.33, 3, true
M106E15, 2001, CY, ST, 2, 4572, 11, 1, true
M116Q89, 1207, PH, GEN-PwD, 8, 4634, 9.33, 1, true
M113M63, 1703, PH, GEN-PwD, 2, 4670, 9.33, 1, true
M116S14, 2402, PH, GEN-PwD, 5, 4910, 9, 1, true
