application_id,seat_allotted,paper,quota,choice_no,auto_upgrade,is_provisional,status_id
M107C57,1301,CY,GEN,4,t,t,2
M101S25,1301,CY,GEN,3,t,t,2
M102Y88,1805,PH,GEN,5,t,t,3
M116E78,1214,MA,GEN,3,t,t,2
M112H62,1805,PH,OBC,4,t,t,2
M121F81,1402,MA,ST,6,t,f,3
M107S75,2201,CY,GEN,8,t,t,2
M110W59,1301,CY,ST,1,t,t,2
M115H36,1901,CY,OBC,7,f,t,2
M110E53,1601,CY,GEN,3,t,t,2
M107X97,1701,CY,GEN,3,f,t,2
M105K69,1403,PH,ST,3,f,t,2
M111J98,1205,CY,GEN,1,t,t,2
M101K96,1502,MA,OBC,2,t,f,2
M102X98,2403,MA,OBC,10,t,t,3
M108F81,1803,CY,OBC-PwD,2,t,t,3
M101G82,1504,MS,OBC,1,f,t,3
M102S90,1302,MA,OBC,3,f,t,2
M102M52,1803,CY,GEN,4,t,t,2
M105E77,1503,PH,GEN,1,f,t,3
M101R87,1502,MA,GEN,2,f,f,2
M105F14,1601,CY,GEN,2,t,t,3
M104D98,1805,PH,ST,4,t,t,2
M107D19,1602,GG,GEN,3,t,t,2
M110M37,2302,CY,GEN-PwD,7,t,t,3
M102J14,1701,CY,OBC,7,t,t,3
M106C40,1805,PH,GEN,1,f,t,2
M103J93,1501,CY,OBC,2,t,t,2
M109W27,1904,GG,GEN,4,t,t,2
M108U62,1502,MA,OBC,1,f,t,2
M102V36,1701,CY,OBC,5,t,t,3
M107V99,1401,CY,SC,3,t,t,3
M110X31,1702,MA,GEN,3,t,t,2
M111U92,2102,MA,OBC,4,t,f,3
M104D21,1902,MA,GEN,5,t,t,3
M104S13,1702,MA,OBC,4,t,f,3
M103A40,1703,PH,GEN,3,t,f,3
M112J84,1804,MA,OBC,3,t,t,3
M109F44,1604,PH,OBC,1,f,t,3
M106M67,1602,GG,OBC,1,f,t,2
M110P28,1902,MA,GEN,2,t,t,3
M109S15,1804,MA,OBC,3,t,t,3
M102T59,1216,PH,GEN,5,t,t,2
M102R50,1203,MS,GEN,1,f,t,2
M106T95,1803,CY,GEN,1,f,t,2
M103A86,1501,CY,GEN,1,f,t,2
M101W83,1207,PH,OBC,4,f,t,2
M106D55,1206,MA,GEN,2,t,t,2
M104P59,1701,CY,GEN,2,t,t,2
M101V79,1603,MA,OBC,5,t,t,3
M111V15,1403,PH,GEN,7,t,t,3
M104U37,1504,MS,GEN,1,f,t,2
M105D61,1504,MS,SC,2,t,t,2
M105B45,1801,GG,GEN,2,t,t,2
M113E87,1903,PH,GEN,6,t,t,2
M101Z18,1205,CY,GEN,1,f,t,2
M105F45,1602,GG,GEN,2,t,t,2
M101Y55,1604,PH,OBC,1,f,t,2
M119V63,1203,MS,OBC,1,f,f,2
M103X26,1901,CY,GEN,4,t,t,2
M102J72,1604,PH,GEN,1,f,t,2
M105T39,1501,CY,GEN,1,f,t,2
M107R43,1601,CY,GEN,3,t,t,3
M110P72,1401,CY,ST,1,f,t,2
M108J10,1602,GG,OBC,2,t,t,2
M116T43,1802,BT,SC,1,f,t,2
M118U85,1502,MA,GEN,2,t,t,3
M108K13,1902,MA,GEN,4,t,t,3
M102M46,1205,CY,OBC,2,t,t,2
M102E95,1401,CY,GEN,6,t,t,3
M112M33,1803,CY,GEN,4,t,t,3
M103B82,1502,MA,GEN,3,t,f,2
M113N12,1402,MA,GEN,3,t,t,3
M106J75,1802,BT,OBC,1,f,t,2
M105T47,1803,CY,GEN,2,t,t,3
M104K40,1502,MA,GEN,1,f,t,3
M107Z95,1303,PH,GEN,1,f,t,2
M104N60,1904,GG,ST,3,t,t,3
M104G26,1804,MA,SC,5,t,t,3
M104C67,1901,CY,GEN,1,f,t,3
M101D18,1212,CY,OBC,17,f,t,3
M108Z44,1701,CY,OBC,4,t,t,3
M117H22,1803,CY,SC,3,t,t,3
M101K25,1803,CY,GEN,4,t,t,2
M113C19,1701,CY,GEN,3,t,t,2
M104A48,1505,PH,GEN,1,f,t,2
M103Z40,1603,MA,GEN,5,t,t,2
M102H87,1903,PH,GEN,8,t,t,3
M102R63,1502,MA,GEN,4,t,f,2
M107D17,1602,GG,OBC,3,t,t,2
M111Q29,1503,PH,GEN,1,f,t,2
M110X92,1212,PH,GEN,2,f,t,2
M105D71,1604,PH,OBC,3,t,t,2
M101P47,1801,GG,GEN,4,t,t,3
M109C82,1601,CY,GEN,1,f,t,3
M106Q25,1502,MA,OBC,2,t,f,2
M112Y27,2101,CY,SC,7,t,t,2
M106Q52,1301,CY,GEN,2,f,t,2
M108E89,1601,CY,SC,1,f,t,2
M105P12,1101,BL,GEN,1,f,t,2
M105E13,1703,PH,ST,4,t,t,2
M105K13,1205,CY,GEN,1,f,t,2
M108Q20,2101,CY,GEN,8,t,t,2
M109E19,2301,MA,GEN,8,t,t,2
M101E31,1504,MS,ST,1,t,t,2
M106Q70,1703,PH,GEN,4,t,f,2
M102Y20,1702,MA,OBC,5,t,t,2
M105R25,2101,CY,GEN,10,t,t,2
M119W11,1207,PH,GEN,3,t,t,2
M105W93,1401,CY,GEN,6,t,t,2
M108H64,1905,MA,OBC,15,t,t,2
M102C84,1206,MA,GEN,2,t,t,2
M105D56,1206,MA,GEN,2,t,t,2
M104D54,1402,MA,GEN,6,t,f,2
M111Q86,1501,CY,GEN,1,f,t,2
M106B63,1206,MA,SC,1,f,t,2
M102U14,1202,PH,OBC,1,f,t,2
M109X50,1207,PH,GEN,1,f,t,2
M101D16,2103,PH,OBC,5,t,f,3
M109T41,1202,PH,GEN,1,f,t,2
M110H57,1212,PH,GEN,17,t,t,2
M109E97,1504,MS,OBC,1,f,t,2
M104F75,1202,PH,OBC,1,f,t,3
M102E33,1207,PH,ST,1,f,t,3
M104R41,1502,MA,GEN,2,f,t,2
M116H70,1201,GG,GEN,1,f,t,2
M105J77,1203,MS,GEN,1,f,t,2
M111Y48,1802,BT,GEN,3,t,t,3
M106R96,1702,MA,GEN,3,t,t,2
M103F43,1302,MA,GEN,1,f,t,2
M102C77,1205,CY,SC,3,f,t,2
M102Y66,1502,MA,SC,1,f,t,3
M101Q45,1203,MS,GEN,1,f,t,2
M110Z23,1402,MA,GEN,3,t,t,2
M112C62,2102,MA,OBC,8,t,f,2
M105N98,1504,MS,OBC,1,f,t,2
M108W38,1301,CY,OBC,3,f,t,2
M103R20,2201,CY,GEN,7,f,t,2
